layer,K_eff,bit,granularity,rel_rmse,rmse,ref_rms,num_sequences,seq_len
15,4,4,per-channel,0.025837109615331394,0.03547077625989914,1.372861623764038,4,2048
15,4,4,tile32,0.025514241193278137,0.03502752259373665,1.372861623764038,4,2048
16,4,2,per-token,0.08684291445540787,0.1305452138185501,1.5032339096069336,4,2048
16,4,2,per-channel,0.10660287358320082,0.16024905443191528,1.5032339096069336,4,2048
16,4,2,tile32,0.10285582956113835,0.1546163707971573,1.5032339096069336,4,2048
16,4,3,per-token,0.04379236703449257,0.06583017110824585,1.5032339096069336,4,2048
16,4,3,per-channel,0.05642352244715533,0.08481775224208832,1.5032339096069336,4,2048
16,4,3,tile32,0.051483500448814445,0.07739174365997314,1.5032339096069336,4,2048
16,4,4,per-token,0.021723134403207108,0.03265495225787163,1.5032339096069336,4,2048
16,4,4,per-channel,0.02597316057282785,0.03904373571276665,1.5032339096069336,4,2048
16,4,4,tile32,0.025547297034726746,0.03840356320142746,1.5032339096069336,4,2048
17,4,2,per-token,0.08594006798981188,0.14137595891952515,1.6450529098510742,4,2048
17,4,2,per-channel,0.1079174868532756,0.177529975771904,1.6450529098510742,4,2048
17,4,2,tile32,0.09814289313735836,0.16145025193691254,1.6450529098510742,4,2048
17,4,3,per-token,0.043559734143546455,0.07165806740522385,1.6450529098510742,4,2048
17,4,3,per-channel,0.05643033176650213,0.09283088147640228,1.6450529098510742,4,2048
17,4,3,tile32,0.050907314751068064,0.08374522626399994,1.6450529098510742,4,2048
17,4,4,per-token,0.0213001738116862,0.03503991290926933,1.6450529098510742,4,2048
17,4,4,per-channel,0.025883526197357773,0.0425797700881958,1.6450529098510742,4,2048
17,4,4,tile32,0.024358849019500393,0.04007159546017647,1.6450529098510742,4,2048
18,4,2,per-token,0.08246915960283206,0.14949344098567963,1.8127193450927734,4,2048
18,4,2,per-channel,0.10568190740976527,0.19157163798809052,1.8127193450927734,4,2048
18,4,2,tile32,0.0968765799484307,0.17561005055904388,1.8127193450927734,4,2048
18,4,3,per-token,0.041382936306450215,0.07501564919948578,1.8127193450927734,4,2048
18,4,3,per-channel,0.05230349994920235,0.0948115661740303,1.8127193450927734,4,2048
18,4,3,tile32,0.050664459583278636,0.09184044599533081,1.8127193450927734,4,2048
18,4,4,per-token,0.02018198819926979,0.0365842804312706,1.8127193450927734,4,2048
18,4,4,per-channel,0.025687035912724535,0.04656338691711426,1.8127193450927734,4,2048
18,4,4,tile32,0.02460909098739471,0.044609375298023224,1.8127193450927734,4,2048
19,4,2,per-token,0.07785097400155953,0.15168115496635437,1.9483526945114136,4,2048
19,4,2,per-channel,0.10186859775225594,0.19847595691680908,1.9483526945114136,4,2048
19,4,2,tile32,0.09241345751611128,0.18005400896072388,1.9483526945114136,4,2048
19,4,3,per-token,0.0392088293190797,0.07639262825250626,1.9483526945114136,4,2048
19,4,3,per-channel,0.05272929607601127,0.10273526608943939,1.9483526945114136,4,2048
19,4,3,tile32,0.04763194501675146,0.09280382841825485,1.9483526945114136,4,2048
19,4,4,per-token,0.018730822051943867,0.03649424761533737,1.9483526945114136,4,2048
