strategy,bit_mode,avg_bit,full_ppl,full_nll,baseline_ppl,delta_ppl_vs_baseline,kv_memory_ratio,comment
k4_fixed2_value_strategy,fixed2,2,6.0754618644714355,1.804258013410188,6.069353103637695,0.006108760833740234,0.125,
k4_fixed3_value_strategy,fixed3,3,5.763513088226318,1.7515471999379895,5.759615421295166,0.0038976669311523438,0.1875,
k4_fixed4_value_strategy,fixed4,4,5.70102596282959,1.7406461521224972,5.700958728790283,6.723403930664062e-05,0.25,
